,Name,Time Ago,Like,Comment
34,@nathgideon,1 month ago,90,"the Mr. & Mrs. that lost over 300K pounds must have gone through a lot, I could feel how heavy the man was when he was sharing his story. this scams have even gotten to Africa, and many people will die as a result of this scams. I pray and hope that we get to the end of this and arrest & persecute everyone involved."
35,@blingximus,1 month ago,5,"A similar scam almost happened to me - they would make stock calls on some bogus stock that looked similar to a real stock on a specific platform.
They told me to make a fake money account and follow their calls, just to prove what they were doing was real.

The only thing that saved me, is that I had pretty fluent knowledge of stocks and I knew that it was impossible for anyone to predict moves with near 100% accuracy, even 85% accuracy is wild.
Also the stocks they were trading were never listed on any legitimate exchange.

They even used the identity of a legitimate famous portfolio manager to try  and convince me."
36,@SamSam-jk7hm,1 month ago,15,Excellent journalism! Thank you for your strength in bringing this to the light!
37,@Bravenotch,1 month ago,0,"Honestly, he's an amazing person. He uses his time, moves and basically his life into helping people who are less fortunate. Using an excellent money recovery model as well in making profits, he really is still doing it out of his own heart. You really are a saint APEXDEFT on the internet and a wonderful wonderful person"
38,@epgui,1 month ago,141,"Impressive work! These people need to not just be held accountable, but made examples of."
39,@XavierGutierrez723,1 month ago,3,"I can't imagine how hard it would be to decide to take on a re-coveryagent role of an scammed persons.
The history needs to be remembered though and the help that was born through such pain and suffering.
Mad respect to these AstraTrustHq on the internet that take on these roless!"
40,@chan400,1 month ago,4,"Thanks you for the excellent informative report. Please continue your courageous work.
At the same time, I feel sorry for the victims."
41,@janedaniel4646,1 month ago,608,"I'm not even kidding when I say that the market crash and high inflation have me really stressed out and worried about retirement. I've been in the red for a while now and although people say these crisis has it perks, I'm losing my mind but I get it, Investing is a long-term game, so I try to focus on the long term."
42,@metal666micky,1 month ago,39,Brave woman. Governments need to dedicate more resources to investigating and shutting down these scumbags. It’s absurd that it takes the actions of a few individuals to make change happen.
43,@dark_dante2663,1 month ago,1,This was an interesting video clip about scammers and fraudsters. People are disguisting for sure. How any can do this is beyond me and sleep at night takes alot of guts.
44,@aaronmckechnie4467,1 month ago,141,Love your work Simona Wineglass! Fighting the good fight. I love seeing justice against these evil people.
45,@maxr394,1 month ago,9,"Thank you for your work, these crimes should be stoped and real sanctions should be put in place"
46,@jamesmoore3331,1 month ago,5,"Kudos on your investigation.  I was curious how the leads were washed with the sponsorships.  Did they hire PR firms to do the deals... how were they paid?  Its crazy to think these things can be set up completely hands free, however, given the thoroughness of this investigation in the other aspects I can only conclude they must have been."
47,@lulundoungel,1 month ago,8,Salute to those journalistsGreat job. Looking forward to the governments around the world to take such scams very seriously and work towards in busting out such operations.
48,@mollyfenn3057,1 month ago,6,"Honestly ENOUGH IS ENOUGH I’m in Australia 🇦🇺 and I can go out to lunch with a group of people and by the end of the luncheon we have all had scammer calls we ALL HANG UP ON it doesn’t deter them, it’s disgusting............. There has to be a way to stop  the scammers !!!"
49,@amthomamthom,1 month ago,51,I feel the pain of all of those poor souls who were victimized. Awesome investigative reporting!
50,@DonaldRivas-gd2yl,1 month ago,9,"You and vour team and vour associates are absolute legends.
Thanks so much for the work that you've all been doing Astratrusthq on the internet.
Keep up with the great work, you've been doing!!
Thank you for saving and protecting millions of Americans from this heartless people...
What comes around, goes around!!!!! Let them have it!!
God bless your heart for helping us the victims.'!"
51,@AvinashSingh-jv7uq,1 month ago,7,"While German authorities are continuously working to bring the perpetrators to justice, British authorities are not even aware of this scam. Amazing!! Kudos to this kind of journalism."
52,@Super-id7bq,1 month ago,2,"This is great work. Well done. One thing I have to point out however is that it's not surprising most people don't come forward. Fraud in the UK is practically legal. Me and my wife had our credit card info stolen and had all tons of stuff taken out in our names using our credit (phones, plane tickets, loans etc) and we actually worked out who did it.

They're a massive professional operation (they were able to spoof our phones for bypassing 2 factor authentication so they're sophisticated). I called the police and they said there is nothing they could do. Literally, they wouldn't accept a report. They then said I had to call action fraud which I did but again, all they said was to contact my bank. I eventually had to call crime stoppers in the hopes that they might one day get enough info to follow up but that's unlikely.

The only reason we figured out who it was, was because they had no idea my wife was actually my wife. We had different surnames and different banking addresses at the time, otherwise they likely would have only tried to defraud one of us. This allowed us to pinpoint exactly who it was. My theory after asking around is that they literally use the money to fund terrorist organisations but again, the police aren't even remotely interested. So basically if you want to earn a crap load of money, steal people's credit card info and take out a bunch of phone contracts or buy airline tickets in their names etc - the police will do literally nothing about it. Insane."
53,@yamansalama2124,1 month ago,19,One of the best documentaries I’ve ever watched on YouTube. Well done Simona .
54,@marianadiogo7776,1 month ago,7,"I can't believe how much our lives have changed since meeting Jackson Sten Marsh . He's helped us become debt-free and save for retirement."" I made over 220K during this dip, which maude it clear there's more to the market than we average joes know. Having an investment adviser is the currently the best course of action, especially for those who are close to retirement .."
55,@andreahussein2149,1 month ago,221,This is journalism. Thank God it still exists. Good job.
56,@ronlilleyjr,1 month ago,3,Love shows like this ! Thanks. Some people are flat out greedy and there are scammers out there to take their money.  Crazy returns on investments is big red flag. Greedy investors will continue to be scammed forever and ever.
57,@danielngandu8656,1 month ago,6,"Thanks for this, really powerful information, you really are a modern day saint! I feel that there should be watch dog organisations that keep an eye out on all these financial platforms that pop up in the thousands and just offer cautionary intel on the suspicious ones!"
58,@fraumahler5934,1 month ago,0,Excellent reporting of this vital investigation. Why aren’t these fraudsters being prosecuted?
59,@revivalrepeat6726,1 month ago,20,First of all Thank you BBC and you have taken this step to educate all of us stop from getting victims. Appreciate your good work  keep up
60,@10aDowningStreet,1 month ago,60,"Quality investigative journalism, one of  the best pieces I've seen in recent memory. Also the courage of the reporter is commendable, these people are likely violent sociopaths who would not be above killing to protect their evil operation, a fact I'm sure must be difficult to cope with."
61,@pieterwolt1245,1 month ago,5,Very interesting report. Coincidentaly about 4-5 years ago while living in the Czech republic I was regularly contacted by different call centers from all over western Europe and was always pestered to invest a minimum of 500-2000 Euros with promises of massive returns in a short time.The callers always spoke excelent English but had an unidentifiable Slavic/Balkans accent it seemed.I was even sent a website for verification that was to serve as a kind of trading/monitoring platform.
62,@user-xf3qr9cp9c,1 month ago,0,"We are continually impressed by the crypto recovery results you produce! Adriannotch, You play a crucial role in our team and the company’s success."
63,@guyh282,1 month ago,1,35:16 it's so satisfying to see scammers shocked when they get caught red-handed and still stuck in scammer-mode trying to weazle their way out and look innocent.
64,@AceAdrian8,1 month ago,7,This is absolutely insane and outrageous. How can governments not be putting resources to crush these people???
65,@evansmech8930,1 month ago,1.2K,Excellent video as always but here is my problem I have been making losses trying to make profit trading. I thought trading demo account is just like trading the real market... can anyone help me out or at least advise me on what to do
66,@ruthmelicharles5062,1 month ago,24,"This is the kind of journalism I live for. It's an eye-opener and informative.  
""Impossible to promise"" is what keeps their scam in scamming conditions. 
I hope more people see this and that they'll be wiser with investing this money."
67,@lilmissjoodypoody,1 month ago,4,"Thank you for this incredible work and sharing this with the world, for free. You speak with such a calm tone and cadence, yet if I was in your shoes I would be frantic on adrenaline and anxiety. Please stay safe."
68,@fl2927,1 month ago,44,"This woman is a true investigative journalist. Great work, bravo!"
69,@kentharris7427,1 month ago,0,"After experiencing a rather unsettling ordeal with potential thieves attempting to unlawfully sell my rental property, I was left somewhat disheartened by the response of our federal law enforcement. My impression was that the FBI seemed focused primarily on more straightforward cases, tackling what I've come to term as 'low hanging fruit'.
 
Upon learning about this fraud, I cleverly posed as an interested buyer to gather more evidence about the culprits. I managed to secure their license plate number and even capture video evidence. However, when I took this information to the local police, I was told that, as no money had been exchanged, they were unable to intervene.
 
My subsequent interaction with an FBI agent was similarly disappointing, as they simply suggested I return home without offering any assistance. I refused to give up, though, and instead turned to the bank. I provided them with the information I had gathered, including an account number and name that I suspected were being used for money laundering.
 
Interestingly, the bank's reaction was vastly different. Like a bear attacking a honeycomb, they swiftly took action to investigate the matter, clearly recognizing the potential risk to their reputation and business operations. In conclusion, this experience has left me believing that, sometimes, private institutions may prove more efficient in addressing certain issues than traditional law enforcement. Remember, financial institutions are not fond of their services being used for illegal activities, and they are well-equipped with former police detectives on their payroll to take action once alerted."
70,@edr4043,1 month ago,1,"Simona and BBC great work. Exposing it is one thing, stopping it is another. Is there a UK law that can effectively address this issue?"
71,@republic_of_kyle,1 month ago,4,Brilliant reporting. It couldn't have been easy untangling this web of lies but you did a stellar job.
72,@johnwicked4086,1 month ago,14,"Thank you Simona Weinglass for your work.
You are a hero to those who could watch this and stop immediately any further investment or to those whose just about to start investing."
73,@reggaemarley4617,1 month ago,4,This is an excellent piece. I have to say though Simona also has the perfect voice to act as someone susceptible to being scammed.
74,@josephjohnchombo5127,1 month ago,48,"Now this is journalism, nothing but true journalism, professionalism and very well investigated, we are tired of the daily Agenda based news this actually brings hope to victims. Cheers"
75,@regwatson2017,1 month ago,3,It's always the same story. People get suckered in generally through their own human weaknesses (usually greed) and that is what the scammers prey on. Scamees are waiting to be convinced they can make easy money without needing to work hard for it. There is no such thing as a free lunch - someone always has to pay the bill. And the ones born every minute are always the ones picking up the tab.
76,@spaceclouds5156,1 month ago,9,hard to feel bad for people blinded by greed.
77,@hirokomorioka6562,1 month ago,1,"The critical problem is police and authorities don't have stricter and effective preventitive means to stop scammers. More laws and punishment must be legislated. At present, scamners are left on loose. They are more protected than the scammed. By the time scammers are caught, most of the money is spent. Prevention is the only countermeasure for the potential victims."
78,@Blinder275,1 month ago,28,As a Georgian I am deeply ashamed of these individuals actions. I hope British law enforcement brings these man to justice soon.
79,@jaimeortega4940,1 month ago,3,"""If something sounds too good to be true, it probably is."" If everyone lived by this statement, then there would be a lot less of these types of scams."
80,@mercedesvan-doors34,1 month ago,5,"This investigation was a brave undertaking, kudos on your determination and persistence."
81,@salomonskillbrant334,1 month ago,1,You should Also investing CTMATADOR who keep frauds victims ! Thank God finally someone takes this issue seriously and confronting this monster who keep destroying peoples lives and taking every money from them unfortunately I’m on of those victims. Really good work Simona Weinglass and BBC
82,@johnyohannan203,1 month ago,3,"An excellent and scary piece; how do we move forward with courage in a world like this where we are all trying to make a bit of a nest-egg.
On a side-note and in a very humble and respectful way, I think the lead reporter is just so...alluring."
83,@dopecat4012,1 month ago,2,Now this is journalism. Great work Simona.
84,@orangequant,1 month ago,57,"Thank you, Ms. Weinglass! Well done! Scams flourish in desperate times."
85,@margooganesian3253,1 month ago,0,"Thank you for the work done exposing this scam.
Hope,people will think twice before handing out their money for “ quick return”, because there is no such thing as quick gain.
For all Georgians,stop apologizing,more over most of the pictured in the documentary,if not all,have roots and passports from the very different from Georgia country, Israel."
86,@laara1426,1 month ago,27,I hope that you get recognized and awarded for your outstanding investigative reporting and journalism .
87,@trending2419,1 month ago,3,I worked for a similar company in Kyiv for one month when I was a student in Ukraine.   I resigned when I knew it was a scam because I can't use that money to feed my family and pay my bills as a god-fearing person.
88,@QueenAllaiya,1 month ago,2,Really excellent piece of investigative journalism. Don't see it all that often these days.
89,@bennyhinu,1 month ago,91,"When it comes to investing, we want our money to grow with the highest rates of return, and the lowest risk possible. While there are no shortcuts to getting rich, but there are smart ways to go about it."
90,@akbarismail9473,1 month ago,57,Excellent work. We need more like this. Give this journalist a HUGE raise.
91,@clarabartha1737,1 month ago,6,Phenomenal effort on the reporting.  Hope you finally bring these criminals down.
92,@corykre,1 month ago,1,Scammers are the bottom feeders of society and they should be dealt with accordingly. It sounds like there should be an intentional treaty and an international monetary fund to imprison these people.
93,@DanielSRosehill,1 month ago,2,"Amazing work, Simona!"
94,@richardautenzio8117,1 month ago,1,"Those in authority who do nothing about these scammers might be just as guilty. Shame on the scammers and the authorities who might be indrectly supporting the scammers, by not bringing them to justice and making them pay."
95,@mimba3181,1 month ago,2,The best documentary ever put on YouTube. The lady is brilliant and tough as a nail.
96,@mikolo45sx,1 month ago,15,"These sorts of systems have been around a long time as well as the warnings about them. It is still amazing how many people fall for such criminal scams, regardless of levels of intelligence. It just shows how dangerous manipulation can be, not only finacially."
97,@evenif7431,1 month ago,7,I hope this wonderful investigative journalism leads to the British government taking their responsibility to protect their citizens more seriously. I hope it also leads to football teams changing how they engage with sponsors.
98,@ibrahimmason6858,1 month ago,7,"Great stream, as always. I appreciate the level-headed approach you take to the news and the markets. Most people believe that investing in crypto and stock is all about holding till it rises, with the last crash in the market and recession. We should know that long term price predictions are very difficult to achieve. It's better to trade short term and make profit. MR K got me cover as I am comfortably making up to 10 BTC monthly."
99,@jeri.studio,1 month ago,6,"Milton Group has been operating since 2017 possibly because they were inspired by a group that may have invented this type of scam in 2012 but was shut down in 2017 after only raking in $250 million from 100,000 victims. It consisted of about a dozen people in Florida & a single producer leading a small troupe of actors in Portland, Oregon, including Jason Glick. Today, most people are familiar with this scam template by the name of one of the most popular brands it invented, which is still being copied: Tesler. The producer got off easy for cooperating with investigators. The ringleaders in Florida were fined heavily. And the actors continue to enjoy growing success in the Portland theater circuit, their local audiences clueless that the characters played a role in the continued theft of millions from people around the world. This is a fascinating story that has yet to be told in great detail on video, & I have a folder full of the evidence."
100,@MrMoro23,1 month ago,3,I appreciate you risking this and giving us the knowledge
101,@Wilkz8,1 month ago,1,"These football clubs should be ashamed and severely punished if ever connected to these scams, they should have done there own homework on these companies, they're just as disgusting as the scams."
102,@DC9848,1 month ago,32,"Fantastic investigative journalism, kudos for the whole team and BBC for providing the resources"
103,@Urbizzo,1 month ago,4,"Thank you - these scammers have been making phonecalls to me for many years. Never heard any news about them - so this is good you did this documentary. Most of them who called me had accents, I asked them, and they all had some roots in eastern Europe. Mosly the phonecalls was supposedly made from England (+44) but sometimes they had other country numbers. I just talked to them, for hours trying to get as much information about them as I could. I even got to be friend to two och trhe of them.  Of course I wasnt interested in their proposals."
104,@c2basia394,1 month ago,1,Well done for going deep and unearthing the scam
105,@ayandasigxashe7198,1 month ago,1,"Superb work, now I know why I just didn’t understand why I had so many online calls from Asia till I changed my phone numbers. Thank you"
106,@alma2502,1 month ago,1,"I was contacted by these people 3x in total. To my surprise I got calls from Singapore, UK and Germany. I was convinced bec they're all professionals in the way they talked. What saved me from it was my financial incapacity. With promises of big ROI I was really sold by it except the amount they wanted me to put in was rather big for me at the time. Never been thankful in my life for being poor hahaha"
107,@JupiterEarth,1 month ago,15,"Outstanding documentary. Congratulations, and thank you for bringing awareness to prevent more scammed people."
108,@OurDigitalClassRoom,1 month ago,4,"I would welcome a similar exposé of these and similar businesses operating with impunity in South Africa. Lord Peter Hain, Athol Williams, Wendy Addison and many others have had a torrid time trying to fight the corporate scammers. Whistleblowers are hung out to dry and left exposed and vulnerable. The bandits make millions with no fear of redress."
109,@ewuramalyle6551,1 month ago,0,"As long as people are drawn to the concept of passive income, scammers will always exist to strike no matter how hard they are crushed. It is just like the drug issue. As long as there are customers these crypto and drug crimes will continue. God help us."
110,@jacquespotgieter2700,1 month ago,0,Thank you for the documentary but these scams can simply be avoided by simply banning on a  national level these suspect domain names. Our governments don't care... We should hold them liable...
111,@user-ig6wb7ih5k,1 month ago,4,"The FCA needs to be strengthened, because we cannot have a financial regulatory regime that is effectively a Potemkin village that exists in name but takes no real action and does not do enough to warn people about scams and fraud. The innocent London Capital & Finance plc (LCF) victims, and the thousands who have been conned out of their money, deserve better than this."
112,@ewanc1,1 month ago,0,"I think this is a lesson for us all with the lesson being that no-one is going to save you from these 'people' (I use the word loosely when talking about scammers of any kind). The police/government/regulator are reactive and so will only investigate, if they investigate at all, after the fact i.e. when your money is gone. We are the only ones who can protect us and we have to be vigilant and do our due diligence because no-one's going to do it for us. If it's too good to be true, it almost always is and promises of 80/90% returns should be a big red flag. I feel for the people who have been scammed and it proves that it can happen to anyone."
113,@pe1145,1 month ago,60,Thanks for the great work! I myself a victim of this scam in the UK back in 2019. Deposited £250 initially and they showed screen profits for 2 weeks and after that asked me to deposit more money. By then I investigated more and found out that I was scammed and asked them to refund money but never got it.
114,@blairhakamies4132,1 month ago,2,"Excellent work. Congratulation. The scam happens when persons accept in their lives the concept of ""money""... After that all the stupidity became available. Imagine that exist persons who make investments and do not know what epistemology is..."
115,@PaulHenreid,1 month ago,0,"Good journalism.  This kind of investigation should be conducted by law enforcement.  Unfortunately, they usually take the position that stealing is a civil matter.  Every crime against a person or property has an equivalent civil claim.  If there is an exception to this general rule, please state it."
116,@andyd9865,1 month ago,0,"Thank you for sending billions of dollars to their government after permitting these scammers to take the poor people's money. It is obvious their government is made up of upstanding officials and have a good track record of ethical spending. Please keep sending the billions, they are much appreciated!!! Each and every billion is being used for a good purpose. If you are against sending billions to this country you are a monster and don't want these young entrepreneurs to succeed."
117,@JDMbrosdude,1 month ago,0,It’s beyond insane how there people get away with these scams with no repercussion!
118,@Matelong,1 month ago,82,"Excellent job ""Jeni"". This is award-winning investigative journalism. I was scammed by ""First Financial Banc"", invested 250€ which ""grew"" to 1000€ in two weeks. I wanted to withdraw my 250€ investment as a precaution and that is when I met with insults, abuse and racial attacks including ""I wish you had been the one who died instead of George Floyd"". Next, my login was disabled and access to their website was blocked. They have morphed. These days they call from ""Norway"", ""Burundi"" and ""Austria"". Take care good people"
119,@jonwright4418,1 month ago,1,These crooks have made life much tougher for the average person because of all the preventive measures needed to prevent  those crooks from getting into our  pockets. When caught they should be dealt with harshly  as they're disrupting this world and the lives of most of us by those money SHARKS.
120,@mrsresinvaleriepayn5203,1 month ago,4,"I feel for theses people who are ripped off.   I only hope that my children never get scammed like this.   
my dad always said 

1/- the stock market , shares, or investing , only ever do it with money that if you lose you won’t be hurt.  It’s just a glorified way of gambling 
2/- if it seems too go to be true,   It more than likely is.    

He was not a educated man, but the few things I recall him teaching me have paid off."
121,@teddykong4676,1 month ago,0,Kudos to the brave journalists! All the best and stay safe!
122,@cusman,1 month ago,0,Fantastic investigative journalism. Well done
123,@williamgage7541,1 month ago,1,"Wow 
That is scary....

No justice no peace ️"
124,@amitavotta,1 month ago,23,"I am a victim of this scam. It all started with trading. It's so disgusting that these scammers are all over the world and Govt.'s are not doing enough to stop this nuisance. I did file a case with Action Fraud although they could not do anything as this requires a wider investigation with more resources, tools to nab these scammers."
125,@srg6532,1 month ago,1,There should be a global effort to eliminate scammers on sight! There should be an absolute fear to be a scammer. They should be afraid to sit down at a computer for fear of elimination on sight.
126,@t-rex474,1 month ago,1,More power to this journalist
127,@dominionphilosophy3698,1 month ago,1,"Finally, the BBC doing some journalism for a change."
128,@yvoheaton6402,1 month ago,1,Watching this I find it hard to believe how gullible some folk are. Not only gullible but greedy to boot. Put the two together and you have the perfect target for these scammers to hit with romance or otherwise approaches. Shocking but hardly surprising.
129,@solonkazos1379,1 month ago,0,scams will never end in this world.  It is an honorable thing to fight against them.
130,@dougthomson5544,1 month ago,24,This woman and her associates are incredibly brave souls. Amazing work!
131,@MarcSherwood,1 month ago,3,"In my mind, if someone has $400K to lose in a scam, something is already broken. Greed has likely got them to the place where they can lose that much. The downstream hurt to have that money is considerable."
132,@pajeetkumar1645,1 month ago,2,"Thank you BBC, for teaching us in India 🇮🇳 how to up our game. The market in Microsoft Engineers was flooding now we know how to get back into the market.."
133,@rainiermeissner6980,1 month ago,0,The German prosecutor is doing a great job. There are sometimes people working in the shadow with noone aware helping so many people and the journalist makes these things public
134,@monikawiedmann8594,1 month ago,1,"Great work! I take a personal interest in this, because my father, in Germany, has fallen for the Onecoin scam before and these days holds some kind of crypto wallet, which he will not talk to me about. He has a dodgy Financial adviser, whom he won't ditch, and I have tried to find dirt on the guy. There is some, but not enough to make a difference unfortunately. It is the people at the top who need to be caught, but of course they will have influential connections and so it is very hard to nail them!"
135,@lukasr.5211,1 month ago,1,Very interesting documentary! I fear AI will only worsen such scam scenarios..
136,@jeffreygroen9191,1 month ago,3.9K,"When your financial advisor calls you darling and promises a 90% return on your investment in one day, please hang up the phone and call the police..."
137,@vosovoso5220,1 month ago,0,"what needs to happen is better punishments for these crimes. Like a live streaming of perpetrator enhanced interrogations, that would 100% help to stop people from doing this :)  the investigators are to nice - 'allegedly' you need to fight fire with fire."
138,@johnerdam961,1 month ago,1,Really excellent journalism.  Keep up your great work!
139,@keenanb7318,1 month ago,1,I like how she used her weak voice to disarm the people that she interviewed. Great journalism!
140,@brendonv101,1 month ago,2,What a video! That is some incredible research and investigation. Nice work.
141,@_Thoughtful_Aquarius_,1 month ago,0,"QUESTION: If one of the top guys ever gets arrested, with evidence that proves his guilt, what would be the punishment? Are there any European countries that are capable of sentencing the bosses of these scam operation with life in prison? What about a death penalty?"
142,@izabelamsztuka7297,1 month ago,14,"It is first-class investigative journalism. Well done. However, pretty embarrassing for the UK that the reporter had to ask a German investigator for a help to British victims of a scam. The fact it's ongoing for years and they (police + FCA) still didn't work out the proper response to cybercrime activity is grossly embarrassing."
143,@beyond_the_tequila_rift3194,1 month ago,3,Man!!! WireShark and really any packet capture software are amazingly detailed tools to sniff out and interpret and form leads of network communications occurring behind the scenes!!! Amazing to see it in action.
144,@carolinam4301,1 month ago,1,Those soccer clubs should be held accountable! Thank you for your investigation!
